Ano,Homicídio Doloso por 100 mil habitantes,Furto por 100 mil habitantes,Roubo por 100 mil habitantes,Furto e Roubo de Veículo por 100 mil habitantes,Furto por 100 mil veículos,Roubo por 100 mil veículos,Furto e Roubo de Veículo por 100 mil veículos,Cidade,Regiao
"2018,""3,81"",""773,67"",""378,25"",""246,32"",""270,77"",""98,25"",""369,02"",Barueri,Grande São Paulo (exclui a Capital)"
None,None,None,None,None,None,None,None,Biritiba Mirim,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Caieiras,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Cajamar,Grande São Paulo (exclui a Capital)
"1999,""46,13"",""519,91"",""643,41"",""403,55"",-,-,-,Carapicuíba,Grande São Paulo (exclui a Capital)"
"2000,""49,56"",""453,88"",""450,67"",""348,64"",-,-,-,Carapicuíba,Grande São Paulo (exclui a Capital)"
"2001,""56,23"",""641,94"",""387,30"",""341,44"",""1.198,80"",""1.308,93"",""2.507,73"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2002,""45,79"",""637,92"",""452,47"",""335,13"",""1.397,54"",""832,05"",""2.229,58"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2003,""44,89"",""602,27"",""403,41"",""337,50"",""1.397,11"",""646,94"",""2.044,05"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2004,""29,05"",""586,00"",""354,76"",""305,13"",""1.109,79"",""579,09"",""1.688,88"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2005,""34,15"",""554,47"",""351,27"",""301,17"",""965,67"",""551,21"",""1.516,88"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2006,""26,95"",""526,52"",""365,09"",""298,96"",""886,33"",""479,99"",""1.366,31"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2007,""19,87"",""515,57"",""362,66"",""270,20"",""616,05"",""476,55"",""1.092,60"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2008,""16,18"",""497,01"",""353,28"",""314,34"",""754,48"",""383,20"",""1.137,67"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2009,""12,54"",""597,79"",""536,46"",""332,56"",""685,01"",""413,17"",""1.098,18"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2010,""11,64"",""620,52"",""584,78"",""259,09"",""481,96"",""284,21"",""766,17"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2011,""16,12"",""510,62"",""613,55"",""303,41"",""445,13"",""362,83"",""807,95"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2012,""12,81"",""545,55"",""735,49"",""355,88"",""446,33"",""429,27"",""875,60"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2013,""13,51"",""524,07"",""707,85"",""342,14"",""377,28"",""411,46"",""788,74"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2014,""14,72"",""499,98"",""822,26"",""404,30"",""453,83"",""473,11"",""926,94"",Carapicuíba,Grande São Paulo (exclui a Capital)"
